date,409000611074'_1,409000611074'_2
20180626,261438.0,-0.3049894337013679
20180627,528175.0,0.6348350468152432
20180628,347390.0,-0.0021450823389256644
20180629,412341.0,0.2267040830713264
20180630,177370.0,-0.6011956759102495
20180701,0.0,-1.2261433513704643
20180702,211330.0,-0.4815405873460679
20180703,0.0,-1.2261433513704643
20180704,610468.0,0.9247872318332702
20180705,532140.0,0.6488053773852367
20180706,434419.0,0.304493984288052
20180707,297640.0,-0.17743485430794909
20180708,0.0,-1.2261433513704643
20180709,245245.0,-0.36204405234447135
20180710,814726.0,1.644472422644301
20180711,437865.0,0.31663566376956465
20180712,833548.0,1.710790092754873
20180713,450575.0,0.3614182366685855
20180714,0.0,-1.2261433513704643
20180716,700600.0,1.2423594474536122
20180717,721080.0,1.3145189354923177
20180718,585860.0,0.8380830969867631
