date,1196428"_1,409000362497"_1,409000438611"_1,409000438620"_1
20180825,0.0,0.0,0.0,0.0
20180827,53512021.64,11720728.62,27700000.0,29630465.22
20180828,46026815.14,6699856.83,9000000.0,10000991.48
20180829,42418144.08,7052384.63,8700000.0,11010000.0
20180830,39461598.96,7476634.56,9700000.0,10600046.61
20180831,40878210.42,6869823.99,8900000.0,11300067.85
20180901,36149122.43,6895609.33,6000000.0,11169601.51
20180903,48879540.7,10245789.75,22000000.0,18800720.06
20180904,31830766.02,8405344.559999999,9400000.0,11582951.34
20180905,32889861.52,8161035.99,9300000.0,12123091.45
20180906,42286841.46,6972481.870000001,9100000.0,11313384.68
20180907,38524305.61,6579621.520000001,10000000.0,9300035.4
20180908,0.0,0.0,0.0,0.0
20180910,70913731.12,8384231.35,30000000.0,28500000.0
20180911,39582235.56,7868187.48,8400000.0,10537073.46
20180912,43875443.74,6931532.73,10100000.0,8474123.85
20180913,22084270.83,6622802.270000001,4300000.0,13533230.41
20180914,49341263.69,6328380.89,19500000.0,12100002.95
20180915,56713415.91,6448105.13,8000000.0,12111231.29
20180917,67465001.48,7331179.3,25258605.83,17300017.7
20180918,35453526.489999995,6439190.13,10000000.0,9693518.01
20180919,35190304.34,6136701.21,11300000.0,9593878.19
20180920,28627463.0,3744021.5,2700000.0,8527115.05
20180921,28083718.1,4885618.49,20900059.0,7900000.0
20180924,88490765.69,6048552.07,32502000.0,19949825.97
20180925,58097302.4,6037519.19,9700000.0,8510000.0
20180926,52222589.01,5519317.22,12842776.21,908940.71
20180927,26491630.08,4211040.51,9300000.0,635372.28
20180928,29766388.61,5905453.51,10500000.0,349534.82
20180929,20103860.0,1917088.81,6500000.0,7000000.0
20180930,807998.0,0.0,0.0,0.0
20181001,57359995.38,7296197.630000001,27001497.75,9923983.8
20181002,0.0,0.0,0.0,0.0
20181003,53164439.8,6049778.3599999985,16400000.0,14000000.0
20181004,34481451.4,6810949.89,22500000.0,4700035.4
20181005,34190895.72,5707180.989999998,13300000.0,5200008.85
20181006,19123405.17,4408394.33,8500000.0,6261756.69
20181008,43770026.88,6670919.35,27000000.0,9900053.1
20181009,30613873.56,5631487.49,13000000.0,6900000.0
20181010,33018721.28,5836941.88,13800000.0,6007535.4
20181011,37119989.27,6149910.3999999985,335379.0,5768841.33
20181012,55339678.2,6456910.529999998,28200000.0,5533210.92
20181013,0.0,0.0,0.0,0.0
20181014,0.0,0.0,0.0,0.0
20181015,23536183.7,8115172.579999999,43600000.0,15309561.95
20181016,90598750.77,5924885.250000001,14500000.0,6111526.55
20181017,30248730.5,5748936.75,14500000.0,6033484.96
20181018,12315100.0,3722556.17,3900000.0,4600000.0
20181019,6000000.0,3301055.1,24000000.0,3000000.0
20181020,53565642.48,4326857.26,7000000.0,6060656.06
20181022,59798296.83,4978766.79,30000000.0,8500023.6
20181023,42640134.3,5986552.65,13700000.0,6008135.95
20181024,25203979.0,4321541.41,14400000.0,5005029.5
20181025,21819147.5,5456806.32,13400000.0,4300000.0
20181026,66069756.90000001,4907683.3999999985,15700000.0,4809553.1
20181027,0.0,0.0,0.0,0.0
20181029,43655041.49,6493405.02,38500000.0,10000520.65
20181030,51669980.48,4645477.4,13300000.0,5900023.6
20181031,20311384.76,1905830.23,14100000.0,4111888.09
20181101,30687847.92,6031842.7,14300000.0,3400000.0
20181102,48639465.99,5239838.98,14900000.0,4029723.31
20181103,17622544.34,4769012.800000002,11000000.0,4018206.79
20181104,0.0,0.0,0.0,0.0
20181105,23800029.5,5595557.49,40000000.0,8924297.629999999
20181106,60043246.27,4348851.69,21300000.0,4000017.7
20181107,16816585.27,1442459.05,0.0,2011.8
20181108,12500000.0,246420.36,7000000.0,7805017.7
20181109,73429683.39999999,373308.14,36500000.0,6005100.0
20181110,0.0,0.0,0.0,0.0
20181112,72501062.32,6184131.760000002,47000000.0,10000005.9
20181113,29995161.25,706634.0499999998,16900000.0,4525165.49
20181114,33333276.71,4694778.39,12800000.0,3000000.0
20181115,52850591.44,4042519.66,14700000.0,3719235.4
20181116,31537774.27,4160909.25,15600000.0,3400000.0
20181117,15434104.0,1355509.12,2000000.0,3007037.05
20181118,0.0,0.0,0.0,0.0
20181119,33246182.24,1916991.41,37000000.0,5000000.0
20181120,63606263.27,2472926.22,9000000.0,2200502.95
20181121,6453627.47,2009034.16,4500000.0,2500000.0
20181122,46612165.44,2186075.55,31000000.0,3500000.0
20181123,18271581.79,1751585.12,0.0,5532.45
20181126,58737611.22,4698008.010000002,49800000.0,11400000.0
20181127,73898230.55,3168590.61,13053252.82,3421334.22
20181128,18062387.52,2753502.350000001,16700000.0,2515000.0
20181129,52403968.84,1847599.21,14300000.0,2204526.55
20181130,13579470.87,443681.1,10800000.0,2300000.0
20181201,35582963.14,1789464.54,8000000.0,1001005.9
20181203,53265596.52,5072376.35,32600000.0,6200000.0
20181204,54335982.4,2380475.87,11012882.36,1900000.0
20181205,25917183.96,315643.43,15105327.72,2612300.0
20181206,32396792.86,1324074.5,14500000.0,1501109.0
20181207,39498767.21,2166956.36,13800000.0,1900000.0
20181208,0.0,0.0,0.0,0.0
20181210,43735171.19,3559868.76,38000000.0,4003923.01
20181211,62617893.42,4021060.67,17900000.0,4500000.0
20181212,26608632.18,2309399.19,17300000.0,2000000.0
