date,1196428"_1,409000362497"_1,409000438611"_1,409000438620"_1,1196428"_2,409000362497"_2,409000438611"_2,409000438620"_2
20180131,28816961.31,5137198.2,0.0,55244298.56,-0.5531613548791274,-0.7559592281661921,-1.0423631305592496,1.2663620228105965
20180201,46679400.76,20037407.41,5800000.0,51036245.7,0.22430493335628815,0.6587830990166029,-0.4041867285426517,1.0970249395918128
20180202,84265685.52,26467559.0,0.0,52260863.7,1.8602555761962039,1.2693119510859725,-1.0423631305592496,1.146305033515638
20180203,56500000.0,22171987.69,5000000.0,57407224.08,0.6517485006664825,0.8614568353597789,-0.49221105985528585,1.3534007342911056
20180205,26000000.0,27987699.14,6000000.0,80823236.6,-0.6757701653900834,1.41364593787753,-0.3821806457144931,2.2956891020164387
20180206,64000000.0,24476826.6,4000000.0,51862313.0,0.9781875169099004,1.0802962568308858,-0.6022414739960786,1.1302668763683428
20180207,40601678.97,20237904.39,3000000.0,51820895.95,-0.04022913626088308,0.6778198494461174,-0.7122718881368714,1.12860020470906
20180208,62331848.0,25503426.480000004,3931299.07,49732475.6,0.9055808638666349,1.1777696736700296,-0.6098006657758362,1.0445596704359825
20180209,68601184.63,25595998.89,4055411.0,45248872.7,1.1784550081327714,1.186559221850898,-0.5961445787181231,0.8641341238335855
20180212,69298762.0,49531076.22,0.0,125583108.7,1.208817204188301,3.4591425477560485,-1.0423631305592496,4.096879923241013
20180213,15500000.0,22139494.360000007,10000000.0,0.0,-1.1327847881308684,0.8583716646313533,0.05794101084867788,-0.9567346667633202
20180214,48933423.35,8168247.8900000015,7900000.0,104137398.15,0.32241172227229375,-0.4681676789469116,-0.1731228588469869,3.2338788648153116
20180215,143392930.4,11074291.89,3700000.0,43990403.6,4.433780863104319,-0.1922451470205564,-0.6352505982383164,0.8134918211332891
20180216,88471319.08,30582499.05,3700000.0,57497380.0,2.043306627130431,1.6600165231162527,-0.6352505982383164,1.3570287164091122
20180217,56000000.0,23656078.42,2000000.0,60840714.0,0.629985899583588,1.0023680093922551,-0.8223023022776641,1.4915684778193785
20180219,8850000.0,39078135.61,0.0,1200000.0,-1.4222273825333656,2.4666586627264273,-1.0423631305592496,-0.9084452306219357
20180220,58029671.0,29524949.090000004,11500000.0,119745723.05,0.7183277401886272,1.559604463766217,0.222986632059867,3.861976538592421
20180221,74001588.95,23437754.41,3800000.0,61528009.0,1.4135086979377722,0.9816386213927908,-0.6242475568242372,1.5192260511633726
20180222,40000000.0,23367816.910000004,3400000.0,46732692.96,-0.06641733506903674,0.9749982084889949,-0.6682597224805543,0.9238448269090542
20180223,90479333.29,24234505.85,3500000.0,46690787.44,2.1307058515724586,1.0572884307696515,-0.657256681066475,0.9221584986323779
20180226,62486249.0,51671806.09,10200000.0,124433605.0,0.9123011986062349,3.662400174240981,0.07994709367683643,4.050622518644817
20180227,25000100.0,24747089.27,2800000.0,46009827.29000001,-0.7192910150356558,1.1059571071798744,-0.7342779709650299,0.8947558472338343
20180228,38020758.08,23779759.34,4800000.0,50253021.0,-0.15256423977204128,1.0141112426665553,-0.5142171426834444,1.0655070403126419
20180301,64474497.0,12614145.77,3600000.0,55251245.45,0.9988400947619607,-0.04603938366452262,-0.6462536396523957,1.2666415739781267
